dateIDd,avgTemp,maxTemp,minTemp,avgDewPoint,avgHumRel,maxHumRel,minHumRel,sumPrecipitationHgt,timePrecipitation,precipitationToday,avgWindDir,avgWindSpd,maxWindSpd,avgVis,avgPkpa,avgHmdx,avgWindChill,maxWindChill,minWindChill,Rain,Snow,Thunderstorm,Drizzle,Fog,percentCloudy,percentSunny,dateIDm,Year,Month,Day
20140314,-7.3993055555555545,1.0666666666666667,-15.3,-13.672916666666664,61.381944444444436,71.0,52.666666666666664,0.0,0.0,0.0,17.65972222222222,17.82638888888889,26.0,20.437500000000007,100.47277777777776,,-14.136363636363637,-5.5,-21.5,0,3,0,0.0,0.0,0.375,0.08333333333333333,201403,2014,3,14
20140315,1.3145833333333334,4.333333333333333,-5.85,-4.195138888888889,67.09722222222221,85.0,54.5,1.0,0.05,1.0,23.54861111111111,20.993055555555554,30.5,18.995833333333334,99.86569444444444,,-8.694444444444445,-3.0,-14.0,1,3,0,0.0,0.0,0.3333333333333333,0.08333333333333333,201403,2014,3,15
20140316,-10.938194444444443,-6.0,-12.799999999999999,-19.320833333333333,50.729166666666664,62.333333333333336,41.666666666666664,0.0,0.0,0.0,27.180555555555557,20.444444444444443,27.666666666666668,25.141666666666666,101.58798611111108,,-18.51388888888889,-12.666666666666666,-21.666666666666668,0,0,0,0.0,0.0,0.0,0.375,201403,2014,3,16
20140317,-10.988888888888887,-7.833333333333333,-15.700000000000001,-19.156944444444445,52.319444444444436,66.33333333333333,40.0,0.0,0.0,0.0,24.743055555555557,11.159722222222223,23.0,25.645833333333332,101.72125000000001,,-16.22916666666666,-12.333333333333334,-21.0,0,0,0,0.0,0.0,0.125,0.2916666666666667,201403,2014,3,17
20140318,-7.965277777777778,-3.1333333333333333,-13.233333333333334,-16.476388888888888,52.40277777777779,71.0,36.333333333333336,0.0,0.0,0.0,12.6875,9.041666666666666,15.666666666666666,26.150000000000002,102.10902777777778,,-11.951388888888893,-7.0,-17.666666666666668,0,0,0,0.0,0.0,0.08333333333333333,0.2916666666666667,201403,2014,3,18
20140319,-2.8958333333333335,2.9666666666666663,-8.9,-10.725000000000001,56.11111111111111,83.66666666666667,39.666666666666664,0.0,0.0,0.0,13.722222222222221,16.48611111111111,25.0,19.50416666666667,101.37,,-11.833333333333337,-4.333333333333333,-15.333333333333334,0,1,0,0.0,0.0,0.375,0.041666666666666664,201403,2014,3,19
20140320,1.4652777777777777,2.766666666666667,0.16666666666666666,-0.7374999999999999,85.625,93.33333333333333,70.0,7.0,0.20833333333333334,1.0,19.208333333333332,22.63888888888889,28.333333333333332,15.674999999999999,99.67999999999999,,-3.0,-3.0,-3.0,1,1,0,0.0,0.0,0.16666666666666666,0.0,201403,2014,3,20
20140321,-0.32083333333333336,2.466666666666667,-2.466666666666667,-6.519444444444443,64.51388888888887,83.33333333333333,44.333333333333336,1.2,0.041666666666666664,1.0,25.236111111111114,20.125000000000004,27.0,20.48541666666667,100.49069444444446,,-6.041666666666667,-3.3333333333333335,-7.333333333333333,0,1,0,0.0,0.0,0.041666666666666664,0.125,201403,2014,3,21
20140322,-2.0444444444444447,0.3,-3.5666666666666664,-4.811111111111111,81.75000000000001,92.33333333333333,70.33333333333333,11.399999999999999,0.20833333333333334,1.0,19.67361111111111,15.041666666666666,24.0,15.708333333333337,100.39722222222223,,-6.659420289855073,-4.5,-10.0,0,3,0,0.0,0.0,0.3333333333333333,0.041666666666666664,201403,2014,3,22
20140323,-8.558333333333332,0.10000000000000002,-12.533333333333333,-16.42222222222222,54.166666666666664,85.0,41.333333333333336,0.0,0.0,0.0,27.73611111111111,17.180555555555557,28.0,23.933333333333334,101.34972222222223,,-14.916666666666666,-3.0,-20.666666666666668,0,3,0,0.0,0.0,0.0,0.2916666666666667,201403,2014,3,23
